City,slope,r,pvalueWald,pvalueT,anom_slope,anom_r,anom_pvalueWald,anom_pvalueT,mean UHI,mean rural,mean urban,mean_summer_tvsdt_m,mean_summer_tvsdt_r,mean_summer_tvsdt_p,trend_r,trend_r_p,trend_u,trend_u_p,hw_slope,hw_r,hw_pvalueWald,hw_pvalueT
Norfolk,0.559826953952,0.741013923674,3.18604667117e-185,1.527791981e-138,0.652330869817,0.78456522778,1.09785322086e-112,3.49231343146e-93,4.374576271186449,16.336809269162202,20.717404817404823,0.136272980681,0.422656357324,0.150196868822,-0.0598469778201,0.701893521505,0.00272065965568,0.93820496378,0.391608968336,0.264824690786,2.30450041742e-07,7.42456314783e-07
Milwaukee,0.811995544457,0.827484113112,2.15623647148e-28,6.18290166186e-27,0.83875712598,0.853731004599,1.82017838548e-24,2.16409254426e-23,-0.7509039010466227,14.816929133858263,14.335885608856103,0.344590479085,0.365385210509,0.242831715876,0.0198130451125,0.0623747490261,0.124662904215,0.096102961721,0.838641530602,0.491292664161,0.261599628814,0.264112346378
Buffalo,0.934696765404,0.883324875635,2.40871470534e-05,2.62195677753e-05,0.933572475093,0.878879610426,2.60936868399e-05,2.83650410662e-05,0.9807953443259005,14.39447138700291,15.196820083682011,0.908839990429,0.909399530741,4.12258194792e-05,-0.073963469938,0.129972598689,0.00522772139471,0.936024519656,0.792157187048,0.408370181868,0.153294810826,0.155401586064
Pittsburgh,0.760754286769,0.799159906323,2.52803613945e-35,1.13771454864e-32,0.785363172632,0.817266224561,1.35106935416e-30,1.3276398284e-28,2.0185941043083853,15.003124999999976,17.097649734647472,0.225730971372,0.261509384807,0.310636401752,-0.120465031145,0.554372881991,-0.0954992116581,0.0600634161623,0.523806547093,0.310038665144,0.000796171356914,0.00104777379918
Minneapolis,0.63850137574,0.726783120247,1.0492638554e-98,1.37086647929e-84,0.635575254495,0.720102319072,2.05551818301e-97,1.2287943847e-83,2.387187751813055,14.172509960159351,16.72617007251147,0.686256998503,0.805572712094,0.000505672978957,0.0812512709764,0.0224720008728,-0.0848382570127,0.137618318367,0.618595045545,0.357242549521,0.00480142332148,0.00548369007782
Honolulu,0.626248482318,0.517697014686,2.96139708556e-43,9.48392076158e-41,0.587241091964,0.483911220444,7.97583225125e-50,1.65073142594e-46,0.023013698630136963,23.125969756739057,23.159986684420808,0.908957299622,0.783284000864,0.000200046187946,0.0215057267465,0.665732877064,0.0140211307478,0.525670946723,1.04500325919,0.455069355221,0.789592740389,0.789966704911
Seattle,0.662360610881,0.706850346457,4.29476198814e-84,5.96583108044e-75,0.615637704514,0.706706155768,4.46220134839e-125,6.32507357893e-106,3.492518874399443,10.404969366916283,13.880476804123692,1.26953764798,0.812146893872,7.49402187062e-05,0.0805514990351,0.261213567673,0.106104539642,0.0293283524322,0.843852710155,0.512967148755,0.178553180011,0.180610756115
Phoenix,0.792106950634,0.730335968039,4.08547984752e-26,3.43176409718e-25,0.820124668582,0.805900567056,2.41818778972e-29,3.61175432325e-28,5.723574947220268,18.144511784511767,23.934422948632452,-0.0360275330477,-0.0159920151579,0.951424714434,0.0131081056753,0.000236940517788,-0.237255521623,4.02254266126e-05,0.59831779559,0.253771005095,0.033925570029,0.0356269683211
San Diego,0.320779503929,0.668793228388,0.0,0.0,0.31704962349,0.704304705699,0.0,0.0,7.136266094420604,10.567332382311012,17.482115384615373,0.421799580947,0.602961681023,0.0104035661746,0.127752129482,0.327040323287,0.0691057799002,0.160943141741,0.40546652294,0.430485916972,2.91014049069e-17,2.70486284372e-14
St. Louis,0.772811927027,0.808309942425,1.5885526472e-44,2.31108422655e-41,0.772467353957,0.791594397227,5.50828880464e-40,1.98224798157e-37,1.8380082987551842,19.11159917638983,20.961779242174593,0.817798334724,0.936622013126,2.75092902569e-07,0.13233192434,0.15629151204,0.0727361333189,0.283792367622,1.07586780366,0.452875327498,0.682975974406,0.683647899877
New Orleans,0.586478568663,0.6383087751,1.76056756636e-94,1.6635044964e-81,0.577991557254,0.63131037144,1.42715448191e-97,8.4544296342e-84,2.395906902086665,21.828926282051242,24.06316463805256,0.670518520971,0.673957002626,0.00821794700315,0.0559199450711,0.501004459769,0.0555452074921,0.0417773949338,0.431684663067,0.251138884034,3.45266953671e-05,5.79867941697e-05
Dallas,0.914390915947,0.893752575256,1.92695775895e-13,3.10413531835e-13,0.902561876601,0.883528269695,9.91613169572e-16,1.93869905724e-15,1.8535989717223544,22.88978149100259,24.72762148337594,0.990931798745,0.950433742754,5.19902941128e-09,0.0368617760683,0.0201778558691,0.0727088661552,0.139565437449,0.711987641607,0.521420765609,0.00263702623694,0.00309935873217
Tampa,0.564610512891,0.617219726821,2.13262722919e-103,2.30598971148e-88,0.572799438216,0.63466293133,5.93593397076e-106,3.15020933197e-90,1.0022727272727265,21.825547996976628,22.688367481824258,0.552615116155,0.503866493141,0.0465932242323,0.0230785032526,0.0823060664961,0.0957650253795,0.000392592987071,0.0194963753661,0.0142213326922,4.23187198484e-18,7.21010647706e-15
Philadelphia,0.583307259437,0.688301822873,1.71178089659e-145,4.92049887928e-120,0.595536914417,0.695723386231,3.78091207899e-137,2.90013588141e-114,5.713630041724614,15.252397498262683,20.924824056302,0.406652881819,0.604825532978,0.010106680539,-0.121592698764,0.00120219791584,0.0219544255829,0.610998496251,1.03403420614,0.447573270436,0.841160404242,0.841435533037
